Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
1087,abandoned,developer,other,lead,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,abandoned,developer,Python/PyPi,Skipped,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,finished,user,Python/PyPi,lead,<5 years,Extremely important,Extremely important,Very Important,Important,Important,Extremely important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Confident,Low influence,Medium influence,High influence,Medium influence,High influence,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Very Important,Extremely important,Extremely important,Important,Important,Extremely important,Not Important,Extremely important,Somewhat Important,Skipped,Extremely important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,Yes,Yes,Less than once a year,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Version range,Version range,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),(mid-low importance),(mid-hi importance),Little importance,7.64,4.2,(mid-low importance),(mid-hi importance),Little importance
1090,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,finished,developer,Node.js/NPM,lead,5+ years,Important,Extremely important,Somewhat Important,Not Important,Very Important,Important,Somewhat Important,Extremely important,Very Important,Not Important,Extremely important,Very confident,High influence,High influence,Low influence,Lowest influence,High influence,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,I don't know,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Somewhat Important,Important,Important,Important,Important,Extremely important,Very Important,Important,Important,Not Important,Several times a year,Less than once a year,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Several times a month,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Version range,Version range,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Skipped,Strongly disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Little importance,(mid-hi importance),Little importance,(mid-low importance),5.55,7.2,Great importance,(mid-hi importance),(mid-hi importance)
1092,abandoned,developer,Perl/CPAN,central,5+ years,Extremely important,Very Important,Not Important,Very Important,Very Important,Very Important,I don't know,Very Important,Not Important,Not Important,Important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,abandoned,developer,PHP/Packagist,lead,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1094,abandoned,developer,Ruby/Rubygems,user,5+ years,Extremely important,Not Important,Extremely important,Extremely important,Important,Extremely important,Very Important,Very Important,Not Important,Extremely important,Not Important,Very confident,Highest influence,High influence,Lowest influence,Lowest influence,Lowest influence,Strongly agree,I don't know,I don't know,I don't know,I don't know,I don't know,Strongly disagree,Strongly agree,Strongly disagree,I don't know,Strongly agree,I don't know,Strongly disagree,TRUE,self-published,has rev dependencies,default package,Extremely important,Important,Extremely important,Extremely important,Important,Extremely important,Extremely important,Important,Not Important,Extremely important,Not Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,abandoned,user,Python/PyPi,user,<5 years,Very Important,Important,Not Important,Important,Important,Extremely important,Important,Skipped,Not Important,Somewhat Important,Somewhat Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1096,finished,user,Haskell (Stack/Stackage),lead,<5 years,Somewhat Important,Very Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Important,Very Important,Somewhat Important,Extremely important,Very Important,Confident,Medium influence,High influence,Highest influence,Low influence,Highest influence,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,I don't know,I don't know,Strongly disagree,Somewhat agree,I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Somewhat Important,Not Important,Very Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Version range,Version range,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,None,5+ years,5+ years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,(mid-low importance),Little importance,Little importance,Little importance,3.42,7.75,Great importance,Great importance,Little importance
1097,finished,user,Haskell (Cabal/Hackage),lead,<5 years,Extremely important,Extremely important,Extremely important,Important,Not Important,Important,Somewhat Important,Extremely important,Community opposes this value,Not Important,Important,Very confident,Low influence,High influence,Highest influence,I don't know/Not Applicable,High influence,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Important,Extremely important,Somewhat Important,Important,Not Important,Very Important,Not Important,Very Important,Skipped,Very Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Strongly disagree,I don't know,Somewhat disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,None,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.08,6.2,(mid-hi importance),(mid-hi importance),(mid-low importance)
1098,abandoned,developer,Python/PyPi,lead,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,finished,developer,Python/PyPi,committer,<5 years,Somewhat Important,Very Important,Not Important,Somewhat Important,Important,Important,Somewhat Important,Important,Not Important,Somewhat Important,Not Important,Slightly confident,Low influence,Medium influence,Highest influence,Low influence,Medium influence,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I don't know,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Important,Very Important,Very Important,Somewhat Important,Very Important,Not Important,Important,Very Important,Extremely important,Important,Less than once a year,Less than once a year,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,I don't know,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,No,No,Never,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Exact version number,I don't know,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Coursework,<5 years,5+ years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,Little importance,Little importance,(mid importance),(mid-low importance),4.93,6.2,(mid-hi importance),(mid-hi importance),(mid importance)
1100,abandoned,developer,Python/PyPi,submitter,<5 years,Extremely important,Community opposes this value,I don't know,Somewhat Important,I don't know,Extremely important,Important,Not Important,Not Important,Extremely important,Not Important,Slightly confident,High influence,Highest influence,Medium influence,Low influence,Lowest influence,Somewhat agree,I don't know,I don't know,Somewhat agree,Somewhat agree,I don't know,Somewhat disagree,Somewhat agree,Strongly disagree,I don't know,Somewhat disagree,Somewhat agree,Strongly disagree,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,abandoned,user,Python/PyPi,user,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,finished,developer,Python/PyPi,lead,5+ years,Extremely important,Important,Extremely important,Extremely important,Very Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Extremely important,Very Important,Confident,Medium influence,High influence,High influence,Medium influence,High influence,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Less than once a year,Several times a year,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Skipped,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,Never,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Exact version number,I don't know,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid-hi importance),(mid importance),(mid-hi importance),(mid importance),9.7,4.65,(mid importance),(mid importance),(mid importance)
1103,abandoned,developer,Python/PyPi,lead,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,finished,developer,R/Bioconductor,central,5+ years,Important,Important,Important,Very Important,Important,Very Important,Somewhat Important,Extremely important,Extremely important,Extremely important,Important,Confident,Medium influence,Highest influence,High influence,High influence,Low influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Extremely important,Very Important,Very Important,Important,Less than once a year,Less than once a year,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Skipped,Several times a year,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Just name,Just name,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),10.43,6.2,(mid-hi importance),(mid-hi importance),(mid-hi importance)
1105,finished,developer,R/Bioconductor,central,5+ years,Very Important,Important,Very Important,Extremely important,Important,Very Important,Not Important,Very Important,Important,Very Important,Important,Confident,High influence,High influence,Highest influence,High influence,High influence,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Important,Very Important,Very Important,Extremely important,Very Important,Very Important,Not Important,Important,Important,Very Important,Somewhat Important,Several times a year,Less than once a year,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Yes,Yes,Several times a year,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Version range,Version range,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,(mid-hi importance),(mid-hi importance),(mid-hi importance),Great importance,11.76,6.2,(mid-hi importance),(mid-hi importance),(mid-hi importance)
1106,finished,user,Python/PyPi,lead,<5 years,Very Important,Somewhat Important,Extremely important,Extremely important,Important,Extremely important,Not Important,Important,Important,Somewhat Important,Somewhat Important,Confident,Medium influence,High influence,Highest influence,I don't know/Not Applicable,High influence,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Extremely important,Somewhat Important,Extremely important,Very Important,Somewhat Important,Extremely important,Somewhat Important,Very Important,Extremely important,Very Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Strongly disagree,Strongly disagree,Somewhat disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Just name,Just name,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,(mid importance),(mid-hi importance),Great importance,Great importance,12.2,Great importance,(mid importance),(mid importance),(mid importance),9.61,6.75,(mid-hi importance),Great importance,(mid-hi importance)
1107,finished,user,Python/PyPi,user,5+ years,Very Important,Somewhat Important,Very Important,Important,Very Important,Important,Important,Important,Somewhat Important,Somewhat Important,Important,Slightly confident,Medium influence,High influence,High influence,I don't know/Not Applicable,Medium influence,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Important,Somewhat Important,I oppose this value,Very Important,Very Important,Very Important,Not Important,Not Important,I oppose this value,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat disagree,I don't know,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Just name,snapshot,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Degree,<5 years,5+ years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,Great importance,(mid importance),(mid importance),(mid importance),9.61,7.75,Great importance,Great importance,(mid-hi importance)
